Namespace,Pod Name,Requests CPU (m),TOP CPU (m),Usage CPU (%),Requests Memory (Mi),TOP Memory (Mi),Usage Memory (%),Limits CPU (m),Limitis Memory (Mi)
config-management-system,git-policy-importer-74875c4577-h7mgd,0,34,100.00,0,25,100.00,0,0
config-management-system,monitor-7dcdc447fb-qc9tp,0,3,100.00,0,7,100.00,0,0
config-management-system,resourcequota-admission-controller-59cf8f89b4-9qd56,0,2,100.00,0,12,100.00,0,0
config-management-system,syncer-54954fbc76-wlvt5,0,6,100.00,0,24,100.00,0,0
csm,csm-insights-adapter-695bf4d4c4-nqxsd,0,0,100.00,0,0,100.00,0,0
csm,csm-insights-meshstate-546d669645-n5d25,0,0,100.00,0,0,100.00,0,0
csm,csm-sync-agent-5c669b58b5-94hb2,0,1,100.00,0,8,100.00,0,0
default,adservice-74c5fd9c95-2dps8,300,22,7.33,308,161,52.27,2300,428
default,adservice-74c5fd9c95-g9fzb,300,25,8.33,308,163,52.92,2300,428
default,cartservice-dc5994887-6gz48,300,15,5.00,192,111,57.81,2300,256
default,cartservice-dc5994887-ds6mq,300,20,6.67,192,110,57.29,2300,256
default,checkoutservice-b768cb558-rq72c,200,8,4.00,192,52,27.08,2200,256
default,checkoutservice-b768cb558-sjj2l,200,7,3.50,192,50,26.04,2200,256
default,currencyservice-7d965979b7-2qjx4,200,14,7.00,192,115,59.90,2200,256
default,currencyservice-7d965979b7-7wkqr,200,16,8.00,192,115,59.90,2200,256
default,emailservice-5b9f79d7b6-fsqtz,200,10,5.00,192,74,38.54,2200,256
default,emailservice-5b9f79d7b6-nqfkl,200,15,7.50,192,78,40.62,2200,256
default,frontend-v026-dzppw,200,22,11.00,192,55,28.65,2200,256
default,frontend-v026-k49l2,200,20,10.00,192,57,29.69,2200,256
default,frontend-v026-wnqrq,200,13,6.50,192,50,26.04,2200,256
default,loadgenerator-6d797fcd85-25f7j,400,17,4.25,384,103,26.82,2500,640
default,paymentservice-7c9df46fb9-q642d,200,11,5.50,192,75,39.06,2200,256
default,paymentservice-7c9df46fb9-v8n8f,200,7,3.50,192,73,38.02,2200,256
default,productcatalogservice-648d876b98-gvkjm,200,20,10.00,192,52,27.08,2200,256
default,productcatalogservice-648d876b98-z499l,200,13,6.50,192,49,25.52,2200,256
default,recommendationservice-6676cd7bb7-kclzc,200,15,7.50,348,162,46.55,2200,578
default,recommendationservice-6676cd7bb7-mbprs,200,13,6.50,348,79,22.70,2200,578
default,redis-cart-6fd95746bf-z7q8j,170,7,4.12,328,98,29.88,2125,384
default,shippingservice-545f46fb7f-d2cpf,200,10,5.00,192,49,25.52,2200,256
default,shippingservice-545f46fb7f-f4c5b,200,12,6.00,192,49,25.52,2200,256
istio-system,grafana-5dd98b8f8f-h2r6s,10,2,20.00,0,28,100.00,0,0
istio-system,istio-citadel-d5df45c98-cwhdx,10,2,20.00,0,16,100.00,0,0
istio-system,istio-egressgateway-5766dccd78-b5ql8,100,6,6.00,128,32,25.00,2000,256
istio-system,istio-galley-6db57bcdc-h55k5,10,70,700.00,0,27,100.00,0,0
istio-system,istio-ingressgateway-6bb696ddfc-jzgg2,100,5,5.00,128,35,27.34,2000,256
istio-system,istio-ingressgateway-6bb696ddfc-pc54l,100,5,5.00,128,35,27.34,2000,256
istio-system,istio-ingressgateway-6bb696ddfc-ps6sj,100,6,6.00,128,38,29.69,2000,256
istio-system,istio-pilot-6b5dc688dd-bmmjs,600,11,1.83,2176,125,5.74,2000,128
istio-system,istio-policy-8447c6ff7-ztzh8,110,12,10.91,128,55,42.97,2000,128
istio-system,istio-sidecar-injector-7f7cd5c7fb-72m2t,10,20,200.00,0,10,100.00,0,0
istio-system,istio-telemetry-588f4bfc99-vvds9,1100,176,16.00,1082,166,15.34,6800,3943
istio-system,istio-tracing-79db5954f-2r6r2,10,2,20.00,0,334,100.00,0,0
istio-system,istiocoredns-865fb8c47f-xlxng,20,8,40.00,0,22,100.00,0,0
istio-system,kiali-68677d47d7-zg4j2,10,1,10.00,0,10,100.00,0,0
istio-system,prometheus-98ff5bc8b-q4h94,10,40,400.00,0,408,100.00,0,0
kube-system,config-management-operator-5ffb646656-s4lj9,100,8,8.00,20,17,85.00,0,0
kube-system,event-exporter-v0.2.5-7d99d74cf8-5dvmz,0,2,100.00,0,23,100.00,0,0
kube-system,fluentd-gcp-v3.1.1-4qrts,100,40,40.00,200,174,87.00,1000,500
